1,문학의이해,41323,32431,23413,32314,23231,43141,33134,23133,13242,31442
2,대학영어,13412,31313,14342,12141,42312,14432,14244,32413,24114,42323
3,생활법률,F1143,11324,14143,31231,34331,41143,41324,14441,,
,,배점,32223,32222,32332,32333,23233,33233,32332,22222,,
4,인간과교육,41322,22331,44311,14321,34212,14213,21134,34321,14434,22423
5,인간과과학,33212,13223,41111,24433,22111,44424,41233,12134,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
6,철학의이해,31234,32421,24431,23132,41341,22341,31321,21323,41413,42431
7,"성,사랑,사회",23431,14213,24431,22413,33242,41241,13133,42144,43141,42143
8,수학의이해,31233,41243,12332,14232,24311,41412,34332,32344,,
,,배점,22222,22222,33333,33333,33333,33333,22222,22222,,
9,취미와예술,33312,22431,34142,12423,13234,41322,33414,44231,32243,24341
10,생활속의경제,23311,43211,41143,12441,23431,42313,13434,22443,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,,
11,인간과사회,44324,33123,41413,44342,13142,23341,32342,13123,14233,11322
12,현대의서양문화,42411,21412,22311,22124,13443,34124,24311,12432,32413,43412
13,인간과심리,23432,12234,13232,24133,31241,4121B,33321,34223,43223,22234
14,언어의이해,43122,22213,23143,22411,31214,32131,12214,13312,21141,23211
15,국문학개론,21423,14321,33421,24231,24341,21443,42343,44113,42434,31424
16,근현대문학사,43321,12413,22314,24222,14344,12323,31414,44343,12123,42313
17,영작문1,21232,33244,14114,23324,12413,14321,24133,12442,24312,43334
18,영미단편소설,23433,12142,14323,41224,13141,22141,34331,11342,41231,34321
19,영어회화2,21342,31234,32244,314A4,34331,12134,34424,32211,24231,13412
20,중국어초급회화,24142,13213,44123,24233,12321,12423,14323,43122,23143,34213
21,중국어문법,42332,12224,41423,33144,13431,11311,24444,33224,,
,,배점,22222,22222,22233,33333,33333,33333,33322,22222,,
22,오늘날의프랑스,12332,23321,32311,41134,22243,33414,32211,43443,11332,43123
23,일본고중세사,14334,22144,44211,23312,23344,33143,24331,42224,,
,,배점,33332,32333,32322,22222,33233,23322,23222,23233,,
24,일본대중문화론,22341,42243,21343,22441,21413,32412,31334,41422,31233,33433
25,통치의기본구조,24432,21123,34222,24131,31341,11134,34234,32244,41412,13143
26,물권법,12143,14123,11242,12433,32243,32431,3K332,31KK1,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
27,주식회사법,23443,11234,432B1,23443,1212F,44321,12342,31234,,
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,,
28,사회복지정책론,34211,24343,21132,44213,22413,13343,22113,41313,,
,,배점,23232,32323,23232,32323,22333,32323,22332,32232,,
29,국제정책및통상갈등,22431,21243,12343,41341,24444,33242,11213,23141,,
,,배점,22222,22222,22223,32333,33333,33333,32332,22233,,
30,기초거시경제론,13242,23341,13421,31142,12234,32443,13244,13244,,
,,배점,22222,22222,22223,33333,33333,33333,33222,23322,,
31,증권시장과금융상품,43222,22443,23423,12421,21443,32133,34431,24323,,
,,배점,22323,33223,32233,22222,22323,22233,33333,33322,,
32,IT와경영정보시스템,21311,22433,32322,21422,14213,34123,12331,23123,12343,43412
33,마케팅조사,42313,44233,22121,22144,44141,23121,43122,43213,44314,33312
34,조직행위론,12323,32412,42144,33344,31312,31444,14224,33141,34344,44122
35,국제물류론,41423,24131,34324,11244,32214,14222,32331,14133,,
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,,
36,대중영화의이해,12134,23241,32314,34241,21314,23241,34132,42431,13241,23241
37,커뮤니케이션과인간,13133,33214,31212,44214,12243,24332,24144,41123,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
38,한국문화자원의이해,23424,22134,11341,31242,32113,33122,43412,23322,21432,42433
39,서유럽문화기행,42113,22132,34341,41344,13442,13422,24213,31412,,
,,배점,22233,33232,33222,32223,33232,32233,23223,32332,,
40,생물과학,41322,43412,14231,22431,13222,11433,14343,21323,41231,44142
41,지역사회복지론,31423,34221,12123,14333,14132,41124,24243,21423,41314,13242
42,식생활과문화,12314,32413,44233,14233,42411,24312,23213,42414,43411,22332
43,의류소재의이해,21221,34113,14142,31114,32143,12424,31241,33323,43432,21314
44,멀티미디어시스템,41313,23241,12312,21223,22334,12413,44444,13K13,44412,14232
45,컴퓨터과학기초,14424,32133,21143,22314,43122,14221,43142,14141,31333,13424
46,생활과통계,33132,41321,42324,12321,23241,31232,43142,32143,,
,,배점,22322,33333,32223,22233,33232,22232,23333,32322,,
47,환경과대체에너지,42344,44314,21422,11214,42323,12423,12231,24142,34213,43212
48,보건통계학,34322,31132,14311,23244,21234,21222,42132,42111,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
49,고급간호연구,41412,41211,34144,13232,24212,11244,31444,31111,44311,34342
50,지역사회간호학,34243,23212,12333,41123,11314,4F414,14322,14423,23234,24442
51,원격교육론,41211,34332,11243,12423,43124,13243,41213,23244,11342,12243
52,교육심리학,21431,24323,13423,13442,31414,13412,34212,43312,22214,33142
53,여성교육론,14323,13121,41213,14324,14231,44343,33431,14211,14323,22324
54,인간행동과사회환경,21131,31312,11412,43231,22132,44442,13141,41113,23423,14132
55,집단상담의기초,43214,12332,32234,11424,24243,32332,14112,34321,33221,24324
56,사회복지실천론,44244,12343,41242,31K42,42324,12432,23421,21423,,
,,배점,22222,33232,23332,23323,23223,32333,22332,23332,,
57,놀이지도,21434,24112,21231,14224,14411,34212,34321,31324,34231,41332
58,아동미술,33144,21123,42243,14123,42441,34323,13114,23122,,
,,배점,22233,23223,32322,22223,22332,23333,32332,32333,,
59,아동복지,31223,42441,42423,14121,13421,24134,34334,41331,,
,,배점,23223,23322,22233,33232,32322,23333,22333,23223,,
60,미술의이해와감상,32441,34314,13323,32132,11133,32341,23144,32113,32431,23332
61,한국문화와유물유적,12322,41132,41321,31312,31444,22441,34121,24331,12314,12214
